Amount Per 1 spiderling,Name FA,TREAT,C16:0,C18:0,C20:0,C22:0,C24:0,C16:1n-9,C16:1n-7,C18:1n-12,C18:1n-9,C20:1n-9,C22:1n-9,C24:1,C18:4n-3,C18:3n-3,C20:3n-3,C20:5n-3,C20:4n-3,C22:5n-3,C22:6n-3,C18:2n-6,C18:3n-6,C20:2n-6,C20:3n-6,C20:4n-6,C22:2n-6,SFA,MUFA,n-3_PUFA,n-6_PUFA,TOTAL,dryweight1mg
E17_P7,414,M,9.870153302,19.29772597,0.846911535,1.396715725,0,1.956374691,1.913282441,7.159310626,40.66675516,0.36130486,0.214079174,0.387219974,0.303491171,2.054175486,0.050237044,4.544036979,0.334234,0.340072429,0,28.45275369,0.580811666,0,0.302154494,3.379099045,0.464441566,31.41150653,52.65832692,7.626247109,33.17926047,124.875341,93.06666667
E17_P62,415,M,8.915196869,18.65102626,0.872112769,1.28097156,0,0.398803424,1.252679578,1.042645855,40.22389976,0.393125822,0,0.386154789,1.463027999,9.370038924,0.256122787,4.285097564,0.454386954,0.429879736,0,38.64959185,1.102124589,0,0.42499427,1.185168662,1.157257877,29.71930746,43.69730923,16.25855397,42.51913724,132.1943079,87.9
E17_P5,356.d,W,5.392601152,7.922527127,0.200762518,0.472208032,0.314682353,0,1.462649518,2.844011421,18.96589984,0.069814279,0.616103546,0.226147854,0.440030542,1.380414485,0.29754537,2.49228922,0.1660134,0.186550244,0.088344812,15.36210666,0.079805028,0.045888824,0.013965333,2.310472292,0,13.98809883,24.18462646,5.051188072,17.81223814,61.03615149,109.2333333
E17_P69,357.d,W,4.301957965,7.885238329,0.191301772,0.51770934,0,0,0.235256501,0.995609656,16.03881837,0.082352425,0.685403226,0.187056825,0.639715705,1.490433645,0.821763274,2.080527659,0.145097578,0.290535873,0.121765801,21.18038344,0.037700073,0.045692538,0,1.169504808,0,12.89620741,18.224497,5.589839536,22.43328086,59.1438248,87.9
E17_P3,362.d,W,4.576920845,9.851545948,0.096454137,0.488691843,0,0.090856436,0.752905593,2.088277823,22.9115305,0.11850502,0.471906973,0.267915499,0.215945478,0.366582271,0.103371624,1.600918003,0,0.271715698,0.613152461,23.72773921,0.179898308,0.05776325,0.01610845,3.688525338,0,15.01361277,26.70189784,3.171685535,27.67003455,72.5572307,106.9
E17_18,363.d,W,7.401890756,15.08648748,0.111244159,0.482528609,0,0.234942157,3.271700373,5.733478473,31.83646664,0.106608379,0.81703523,0.347741956,0.35182423,2.36190034,0,3.243895904,0.178426518,0.275870204,0,27.83913312,0.230877752,0.050832497,0.235301587,3.827741805,0,23.08215101,42.34797321,6.411917197,32.18388676,104.0259282,109.8
E17_P36,410,W,10.48076296,18.75115779,0.805656057,3.299002162,0,1.312008842,1.603256727,5.969055668,37.32093802,0,0.381481992,0.488580668,0.588038444,3.556822531,0.171919846,6.045545176,0.965504706,0.363090172,0.325492808,34.1573646,1.056635214,0,0.225855348,3.461870272,0.740808434,33.33657897,47.07532192,12.01641368,39.64253387,132.0708484,111.7
E17_P35,411,W,6.980338857,14.17219873,0.609095656,1.957335426,0,2.897412633,0.812649707,3.460693371,36.20615026,0,0.275388907,0.456439874,0.253047603,0.600511882,0.117313366,3.42093003,0.563741585,0.396277752,0.250033741,40.28554887,1.309573189,0,0.252762169,4.854845906,1.397252983,23.71896867,44.10873476,5.601855959,48.09998311,121.5295425,97.06666667
E17_P91,416,W,7.239292907,16.75955339,0.816363921,1.218804963,0.374583398,2.9278411,1.138134613,9.740683527,45.54894719,0.358714472,0.333121649,0.338792653,0.273913893,0.727785984,0.204988167,3.694373291,0.272437036,0.312557186,0,26.77226582,0.697470836,0.117309779,0.40240813,4.969838653,1.033509309,26.03401518,60.38623521,5.486055557,33.99280253,125.8991085,108.9
E17_P30,417,W,7.642390744,19.73065278,1.123271824,1.489292267,0,0.665930472,1.19958555,0.322350258,42.56427471,0,0.172338763,0.327631807,0.653646092,2.457224817,0.522327755,3.99539313,0.287324317,0.369372821,0.321828946,51.92167185,3.191101002,0,0.663166065,1.934791874,0.598262371,29.98560762,45.25211156,8.607117878,58.30899316,142.1538302,100.7333333
